cluster	celltype	subtype	evidence
0	EX		SLC17A6,SLC17A7
1	IN		GAD1,GAD2
2	EX		SLC17A6,SLC17A7
3	IN		GAD1,GAD2
4	EX		SLC17A6,SLC17A7
5	EX		SLC17A6,SLC17A7
6	EX		SLC17A6,SLC17A7
7	PROG		HOPX,PTPRZ1
8	EX		SLC17A6,SLC17A7
9	IPC		EOMES,PPP1R17
10	EX		SLC17A6,SLC17A7
11	AS		AQP4,GFAP
12	EX		SLC17A6,SLC17A7
13	OPC		OLIG1,OLIG2
14	IPC	PC	EOMES,PPP1R17
15	IPC	PC	EOMES,PPP1R17
16	EX		KCNJ6
17	PC	IPC	TOP2A,BIRC5
18	IPC	PC	EOMES,PPP1R17
19	EX		NR4A2
20	EX		NR4A2
21	OPC		OLIG1,OLIG2
22	EX		NR4A2
23	AS		AQP4,GFAP
24	EX		SLC17A6
25	MGC		C1QA,CD53
26	MLC	Mural	TAGLN,RGS5
27	MLC		CLDN5,PECAM1
28	EX		NR4A2
29	EX		SLC17A6
30	MLC	FB	LUM,COL1A1
